Năm Dữ Liệu (Year),Miền (Region),Vùng Kinh Tế (Zone),Tỉnh/Thành Phố (City),Mức Giá (Price),Diện Tích (Area),Địa Chỉ Chi Tiết (Address)
2021,Miền Nam,Đông Nam Bộ,Bình Dương,806 triệu,35.02m²,"Dự án Bcons Suối Tiên, Đường Tân Lập, Phường Đông Hòa, Dĩ An, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.63 tỷ,36m²,"Phố Mai Hắc Đế, Quận 8, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,896 triệu,107.5m²,"Đường Quốc Lộ 22, Xã An Thạnh, Bến Cầu, Tây Ninh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.34 tỷ,85m²,"Đường Hồ Văn Tắng, Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.9 tỷ,56m²,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1097 triệu,73m²,"Đường Quang Trung, Phường Chánh Lộ, Quảng Ngãi, Quảng Ngãi"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,33.6 tỷ,280m²,"39, Đường Sương Nguyệt Ánh, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,4 triệu/m²,100m²,"Đường Mai Chí Thọ, Xã Hòa Long, Bà Rịa, Bà Rịa Vũng Tàu"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,125 triệu/m²,125m²,"Dự án Serenity Sky Villas, Đường Điện Biên Phủ, Phường 7, Quận 3, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.82 tỷ,48m²,"Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,7.28 tỷ,104m²,"Hẻm 2295, Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.27 tỷ,90m²,"Đường 4, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.04 tỷ,72m²,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.93 tỷ,80m²,"Đường Đào Tông Nguyên, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.03 tỷ,131m²,"Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,8 triệu/m²,Không xác định,"Dự án Long Tân City, Đường 25C, Xã Long Tân, Nhơn Trạch, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.34 tỷ,140m²,"Phố Bà Triệu, Phường Hóc Môn, Hóc Môn, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,30 triệu/m²,72m²,"Dự án Cosmo City, Đường Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,3 triệu/m²,147m²,"Đường Quốc Lộ 51, Xã Phước Hòa, Phú Mỹ, Bà Rịa Vũng Tàu"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.34 tỷ,31m²,"Dự án Smartel Signial, Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.82 tỷ,100m²,"Đường Phan Đình Thông, Phường An Lạc, Bình Tân, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,19.04 tỷ,101m²,"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.92 tỷ,49m²,"Dự án Newton Residence, 38 Đường Trương Quốc Dung, Phường 8, Phú Nhuận, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1064 triệu,55m²,"Dự án HQC Plaza, Đường Nguyễn Văn Linh, Xã An Phú Tây, Bình Chánh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,1064 triệu,100m²,"Đường Tỉnh lộ 44A, Bà Rịa, Bà Rịa Vũng Tàu"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.96 tỷ,73m²,"Dự án City Gate Towers, số 1648 Đường Võ Văn Kiệt, Phường 16, Quận 8, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,806 triệu,90m²,"Dự án Mega City 2, Đường 25C, Xã Phú Hội, Nhơn Trạch, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,739.2,125mÂ²,"Ä�Æ°á»�ng Tá»‰nh Lá»™ 10, XÃ£ LÃª Minh XuÃ¢n, BÃ¬nh ChÃ¡nh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.9 tỷ,Không xác định,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.8 tỷ,120m²,"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.7 tỷ,105m²,"Đường Lê Quý Đôn, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.91 tỷ,89m²,"Dự án The Era Town, Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,8.96 tỷ,72m²,"Đường Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,4.26 tỷ,105m²,"Dự án Uni-town, Đường Đại Lộ Bình Dương, Phường Hòa Phú, Thủ Dầu Một, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,52m²,"Dự án Richmond City, Bình Thạnh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.14 tỷ,92m²,"Dự án Saigon Pearl, 90 Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.46 tỷ,73m²,"Dự án Hoàng Anh Thanh Bình, Đường D4, Phường Tân Hưng, Quận 7, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,12 triệu/m²,1083.1m²,"Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,761 triệu,80m²,"Đường Trần Văn Giàu, Phường Tân Tạo A, Bình Tân, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,4.82,100mÂ²,"PhÆ°á»�ng PhÃº Lá»£i, Thá»§ Dáº§u Má»™t, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.85 tỷ,72m²,"Dự án City Gate Towers 2, Quận 8, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,884 triệu,120m²,"Đường Trần Văn Giàu, Xã Lê Minh Xuân, Bình Chánh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,Không xác định,"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,62.82m²,"Phường 16, Gò Vấp, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.54 tỷ,95m²,"Đường Thạnh Xuân 38, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.24 tỷ,Không xác định,"Dự án Lexington Residence, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,250m²,"Xã Quảng Hưng, Quảng Trạch, Quảng Bình"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.02 tỷ,60m²,"Dự án KDC Long Phước, Đường Long Thuận, Phường Long Phước, Quận 9, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,69.44 tỷ,600m²,"Đường Trường Chinh, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,160m²,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.26 tỷ,67.2m²,"136/12, Đường Nguyễn Tư Giản, Phường 12, Gò Vấp, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,806 triệu,35.02m²,"Dự án Bcons Suối Tiên, Đường Tân Lập, Phường Đông Hòa, Dĩ An, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,1075 triệu,100m²,"Xã Đại Phước, Nhơn Trạch, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,1.23 tỷ,1000m²,"Xã Vĩnh Thanh, Nhơn Trạch, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,2.9 triệu/m²,13000m²,"Đường Phạm Thái Bường, Xã Phước Khánh, Nhơn Trạch, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,Thỏa thuận,70m²,"Đường ĐT 746, Xã Khánh Bình, Tân Uyên, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.8 tỷ,65m²,"Đường Tân Chánh Hiệp 36, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.02 tỷ,60m²,"Dự án KDC Long Phước, Đường Long Thuận, Phường Long Phước, Quận 9, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,840 triệu,1000m²,"Xã Phước Khánh, Nhơn Trạch, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.31 tỷ,Không xác định,"Gò Vấp, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.3 tỷ,69m²,"Dự án Jamila Khang Điền, Đường Song Hành, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1008 triệu,40m²,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,9.52 tỷ,87.5m²,"Đường Số 7, Phường Linh Trung, Thủ Đức, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.03 tỷ,90m²,"1368 Đường Lê Văn Lương, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,Thỏa thuận,105m²,"Phường Mỹ Phước, Bến Cát, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,Thỏa thuận,84m²,"Dự án Baria Residence, Đường Hùng Vương, Phường Long Tâm, Bà Rịa, Bà Rịa Vũng Tàu"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.46 tỷ,Không xác định,"Dự án The ParkLand, Đường Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,8 triệu/m²,100m²,"Đường Quốc Lộ 51, Xã Tân Hải, Phú Mỹ, Bà Rịa Vũng Tàu"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,761 triệu,130m²,"Đường Trần Văn Giàu, Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,627 triệu,80m²,"Đường Trần Văn Giàu, Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,8.18 tỷ,47m²,"Đường Vũ Tùng, Phường 2, Bình Thạnh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.51 tỷ,60m²,"Dự án Citi Home, Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,63 triệu/m²,99.75m²,"Dự án Thạnh Mỹ Lợi, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.6 tỷ,51m²,"Đường Nguyễn Duy Cung, Phường 12, Gò Vấp, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,50 triệu/m²,70m²,"Dự án Sunshine City Sài Gòn, Đường Phú Thuận, Phường Tân Phú, Quận 7, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,9.18 tỷ,68m²,"Số 118/10, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.26 tỷ,82m²,"Dự án Vista Verde, Đường Phan Văn Đáng, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,1008 triệu,60m²,"Phường Bình Chuẩn, Thuận An, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,35 triệu/m²,65m²,"Quận 12, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,672 triệu,120m²,"Đường Trần Văn Giàu, Phường Tân Tạo A, Bình Tân, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,1.7 triệu/m²,1300m²,"Đường Phạm Thái Bường, Xã Phước Khánh, Nhơn Trạch, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,1.46 tỷ,120m²,"Phường Tân Bình, Dĩ An, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,446 triệu,60m²,"Dự án Tân Phước Khánh Village, Đường Tân Phước Khánh 7, Phường Tân Phước Khánh, Tân Uyên, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.76 tỷ,Không xác định,"Gò Vấp, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.66 tỷ,50m²,"Đường Vũ Tùng, Phường 2, Bình Thạnh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,48 triệu/m²,200m²,"Dự án Thạnh Mỹ Lợi, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.82 tỷ,80m²,"Dự án Xi Grand Court, 256-258, Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.96 tỷ,60m²,"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.52 tỷ,68.88m²,"Dự án The Art, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,873 triệu,308m²,"Dự án Mỹ Phước 3, Xã Thới Hòa, Bến Cát, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,156.8 tỷ,148.4m²,"Đường Trương Định, Phường 6, Quận 3, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,65 triá»‡u/mÂ²,71mÂ²,"Dá»± Ã¡n Paris HoÃ ng Kim, Phá»‘ LÆ°Æ¡ng Ä�á»‹nh Cá»§a, PhÆ°á»�ng BÃ¬nh KhÃ¡nh, Quáº­n 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.81 tỷ,79m²,"Dự án Diamond Lotus, Đường Lê Quang Kim, Phường 8, Quận 8, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,Thỏa thuận,100m²,"Dự án New Times City, Xã Hội Nghĩa, Tân Uyên, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,65 triá»‡u/mÂ²,71mÂ²,"Dá»± Ã¡n Paris HoÃ ng Kim, Phá»‘ LÆ°Æ¡ng Ä�á»‹nh Cá»§a, PhÆ°á»�ng BÃ¬nh KhÃ¡nh, Quáº­n 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,10.42 tỷ,80m²,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.74 tỷ,53m²,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,1075 triệu,470m²,"Đường Mỹ Xuân - Ngãi Giao, Xã Mỹ Xuân, Phú Mỹ, Bà Rịa Vũng Tàu"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.14 tỷ,47m²,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.24 tỷ,69.88m²,"Dự án Jamila Khang Điền, Đường Song Hành, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.1 tỷ,215m²,"Đường Phạm Văn Bạch, Tân Bình, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,9 triệu/m²,100m²,"Dự án Biên Hòa New City, Đường Quốc Lộ 51, Xã Phước Tân, Biên Hòa, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.13 tỷ,70m²,"Dự án Him Lam Phú An, Đường Thủy Lợi, Phường Phước Long A, Quận 9, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.95 tỷ,56m²,"Dự án The Sun Avenue, 28 Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,68m²,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.02 tỷ,64m²,"Dự án Centana Thủ Thiêm, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.23 tỷ,68m²,"Dự án Hưng Vượng 2, Đường Số 6, Phường Tân Phong, Quận 7, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.06 tỷ,72m²,"Dự án 4S Riverside Linh Đông, Thủ Đức, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,694 triệu,245m²,"Đường ĐT 750, Xã Trừ Văn Thố, Bàu Bàng, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.75 tỷ,90m²,"Đường 11, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,8.74 tỷ,75m²,"Đường Lê Đức Thọ, Phường 6, Gò Vấp, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.86 tỷ,52m²,"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.02 tỷ,100m²,"Dự án Việt Phú Garden, Đường Trịnh Quang Nghị, Bình Chánh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,10.9 triệu/m²,100m²,"Đường Hương lộ 2, Xã Phước Tân, Biên Hòa, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.98 tỷ,72m²,"Đường Thạnh Xuân 40, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,30 triệu/m²,72m²,"Đường Phạm Văn Đồng, Phường Linh Trung, Thủ Đức, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,392 triệu,125m²,"Đường Mỹ Xuân - Ngãi Giao, Xã Hắc Dịch, Phú Mỹ, Bà Rịa Vũng Tàu"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,896 triệu,150m²,"Dự án Mỹ Phước 3, Xã Thới Hòa, Bến Cát, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,672 triệu,80m²,"Xã Tân Xuân, Hóc Môn, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,12 triệu/m²,100m²,"Dự án Airport New Center, Đường Quốc Lộ 51, Xã Phước Thái, Long Thành, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.87 tỷ,44m²,"Dự án Centana Thủ Thiêm, Đường Nguyễn Thị Định, Quận 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.98 tỷ,86m²,"Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,14 triệu/m²,100m²,"Dự án Dreamland City, Đường Hương lộ 2, Xã Long Hưng, Biên Hòa, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.12 tỷ,52.5m²,"Đường Quốc Lộ 50, Xã Quy Đức, Bình Chánh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.16 tỷ,38.1m²,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,47 triá»‡u/mÂ²,70mÂ²,"Dá»± Ã¡n Sunshine City SÃ i GÃ²n, Quáº­n 7, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.7 tỷ,84m²,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.74 tỷ,53m²,"Dự án Prosper Plaza, Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,10 triệu/m²,100m²,"Dự án Biên Hòa New City, Biên Hòa, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,Thỏa thuận,100m²,"Dự án Eco Town Long Thành, Long Thành, Đồng Nai"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.62 tỷ,113.4m²,"Đường Võ Văn Bích, Xã Bình Mỹ, Củ Chi, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,85 triệu/m²,114.8m²,"Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,58.8 tỷ,230m²,"13, Đường Nguyễn Huy Tưởng, Phường 6, Bình Thạnh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bình Dương,25.76 tỷ,51000m²,"Tân Uyên, Bình Dương"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.7 tỷ,90m²,"Dự án Dragon Village, Đường 990, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,16.24 tỷ,55.6m²,"22, Đường Đặng Văn Ngữ, Phường 10, Phú Nhuận, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.96,54mÂ²,"Dá»± Ã¡n RichStar, 239 - 278 Ä�Æ°á»�ng HÃ²a BÃ¬nh, PhÆ°á»�ng Hiá»‡p TÃ¢n, TÃ¢n PhÃº, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,100m²,"Dự án An Phú An Khánh, Đường Nguyễn Quý Đức, Phường An Phú, Quận 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,22.29 tỷ,115.9m²,"Đường Pasteur, Phường 8, Quận 3, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.75 tỷ,132m²,"Dự án La Astoria, Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.76 tỷ,60m²,"Phố Nguyễn Xí, Phường 11, Bình Thạnh, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.07 tỷ,60.8m²,"Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.13 tỷ,67m²,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
2021,Miền Nam,Đông Nam Bộ,Bình Phước,537 triệu,310m²,"Đường Quốc lộ 14, Chơn Thành, Bình Phước"
2021,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,12 triệu/m²,100m²,"Đường Tỉnh lộ 44A, Long Điền, Bà Rịa Vũng Tàu"
2021,Miền Nam,Đông Nam Bộ,Đồng Nai,2.4 triệu/m²,1727m²,"Nhơn Trạch, Đồng Nai"
